Epoch,Training Loss,Training Gradient Norm,Training Time (s),Test Loss,Test Gradient Norm,Test Accuracy
1,0.6844615489244461,0.11745888748075241,0.029169082641601562,0.6791598796844482,0.21055970916541294,0.5799999833106995
2,0.6449382305145264,0.1063606683986046,0.00805211067199707,0.6802210211753845,0.2190421463421221,0.5799999833106995
3,0.6336921155452728,0.10413184218307685,0.007372856140136719,0.6771588325500488,0.21853896120667965,0.5799999833106995
4,0.6113016307353973,0.10260670605900647,0.008769989013671875,0.6757328510284424,0.21928305895169073,0.5799999833106995
5,0.6049074679613113,0.09779503909208757,0.007197141647338867,0.6717014312744141,0.21299037339544674,0.5799999833106995
6,0.5833722203969955,0.09838635386659621,0.006334781646728516,0.6706319451332092,0.21812824934760677,0.5799999833106995
7,0.5703963339328766,0.0940306575690769,0.0060880184173583984,0.6669529676437378,0.21424307047733165,0.5799999833106995
8,0.5556335896253586,0.09139272516635523,0.00618290901184082,0.6647172570228577,0.21050679311714848,0.5799999833106995
9,0.5421073883771896,0.09441067699491863,0.006041288375854492,0.6671668291091919,0.21973645296838806,0.5799999833106995
10,0.5348706245422363,0.08731965956659109,0.006822109222412109,0.6623382568359375,0.2109319502565624,0.5849999785423279
11,0.516586184501648,0.08702311358709247,0.00987386703491211,0.662631630897522,0.2149085365293195,0.5849999785423279
12,0.5038723200559616,0.08719016359104566,0.010431051254272461,0.6614169478416443,0.21684630288592546,0.5849999785423279
13,0.501689225435257,0.08197344852674307,0.009479999542236328,0.6589478254318237,0.20954487542520298,0.5799999833106995
14,0.4865444675087929,0.08211888173654806,0.009454011917114258,0.6583200693130493,0.2075071130260349,0.5849999785423279
15,0.48770851641893387,0.08759180370865535,0.006972312927246094,0.6564382314682007,0.20595567940673237,0.625
16,0.46499834954738617,0.08354497156861589,0.006765842437744141,0.6561264991760254,0.2060666675859973,0.625
17,0.46603579074144363,0.08248282662605322,0.006654024124145508,0.6551592350006104,0.20584226102885467,0.625
18,0.45888587832450867,0.08172197213669519,0.006615877151489258,0.6542397141456604,0.20562138462255167,0.6349999904632568
19,0.4373442456126213,0.07899177417210522,0.006356954574584961,0.653907060623169,0.2057097658941247,0.625
20,0.4283326789736748,0.07135379448049245,0.0076770782470703125,0.6539598107337952,0.2089521240405203,0.625
21,0.41100767254829407,0.07807645302696425,0.011132001876831055,0.6577903032302856,0.2205130149611778,0.6000000238418579
