Epoch,Training Loss,Training Gradient Norm,Training Time (s),Test Loss,Test Gradient Norm
1,32.88864517211914,11.449804133669842,3.9352359771728516,31.812358856201172,22.696652400278122
2,31.591205596923828,11.21335371246981,2.5864031314849854,30.568092346191406,22.230866429408685
3,30.346786499023438,10.98216842445739,2.580920934677124,29.374317169189453,21.77540544906421
4,29.153118133544922,10.756102097401692,2.6875150203704834,28.228912353515625,21.329985762788272
5,28.008079528808594,10.535019085000275,2.65881085395813,27.129840850830078,20.894336570236835
6,26.909605026245117,10.318784489311582,2.9369120597839355,26.075170516967773,20.468199904585884
7,25.855749130249023,10.107270803480239,2.7770469188690186,25.06304359436035,20.051328399802465
8,24.844640731811523,9.900358178785957,2.702502965927124,24.091691970825195,19.64347841832939
9,23.874492645263672,9.697924147986097,2.651141881942749,23.159423828125,19.24441788515606
10,22.943603515625,9.499857350278273,2.586474895477295,22.26462173461914,18.853929360542576
