Epoch,Training Loss,Training Gradient Norm,Training Time (s),Test Loss,Test Gradient Norm
1,35.92314529418945,12.03083816926562,0.13571882247924805,33.010108947753906,37.61611409053642
2,32.93695068359375,11.44133034745164,0.03513002395629883,30.45425796508789,34.7463749931518
3,30.303964614868164,10.933473013381606,0.02830982208251953,28.128833770751953,32.761319173721795
4,27.929075241088867,10.47180630233923,0.02682185173034668,25.994396209716797,31.194857980370518
5,25.76370620727539,10.040338813667692,0.09427213668823242,24.028602600097656,29.836692716337755
6,23.77931022644043,9.631654173902275,0.02907395362854004,22.21605110168457,28.594589470245957
7,21.956357955932617,9.242082567232067,0.03934168815612793,20.544313430786133,27.428310006267353
8,20.279733657836914,8.869617349365145,0.04240822792053223,19.002460479736328,26.319956123078345
9,18.736736297607422,8.512984586372164,0.10431885719299316,17.58051300048828,25.261086197463875
10,17.316219329833984,8.171259425105422,0.03018808364868164,16.269229888916016,24.247225873473162
11,16.00815773010254,7.843686022380753,0.02996826171875,15.060040473937988,23.275560605165502
12,14.803459167480469,7.529600385425897,0.03094005584716797,13.945002555847168,22.34395899949267
13,13.693817138671875,7.2283966836287785,0.033126115798950195,12.916767120361328,21.450603269941688
14,12.671621322631836,6.939513156725362,0.031636953353881836,11.96854305267334,20.59383542083004
15,11.72989273071289,6.662416371149557,0.030603885650634766,11.094062805175781,19.772087376046567
16,10.862226486206055,6.396605930005313,0.03186488151550293,10.28754997253418,18.98386637425738
17,10.062739372253418,6.141604060856108,0.09705090522766113,9.543678283691406,18.227751097593206
18,9.326022148132324,5.896957070227818,0.02852487564086914,8.857542037963867,17.502381531144277
19,8.64710521697998,5.662233879717172,0.029633045196533203,8.22462272644043,16.806462791392963
20,8.021413803100586,5.4370211783019435,0.028705120086669922,7.640757083892822,16.13874816518839
21,7.4447479248046875,5.220926811235191,0.03168892860412598,7.10211181640625,15.49806450097883
22,6.913235664367676,5.013575597995222,0.10096192359924316,6.6051530838012695,14.883280291930307
23,6.4233174324035645,4.8146076990172775,0.02780008316040039,6.146627426147461,14.293319464366276
24,5.97171688079834,4.623681489254797,0.0303952693939209,5.723536968231201,13.727154718723959
25,5.555417537689209,4.440468203087489,0.028116226196289062,5.333118915557861,13.183806792793167
26,5.1716437339782715,4.264654095732781,0.08900713920593262,4.972829341888428,12.662338150933882
27,4.817837715148926,4.095939250431633,0.029577016830444336,4.640320777893066,12.16185103381409
28,4.491645812988281,3.934036542001756,0.02895832061767578,4.333431720733643,11.68149161794157
29,4.190899848937988,3.7786702791372244,0.028866052627563477,4.050168514251709,11.220440011363399
30,3.913602828979492,3.629576352660605,0.02616286277770996,3.7886977195739746,10.777910494345507
31,3.6579153537750244,3.486503011620296,0.026610851287841797,3.54732346534729,10.353155021200742
32,3.422142505645752,3.34920762820328,0.02659893035888672,3.3244855403900146,9.945451354308487
33,3.2047228813171387,3.217457385561152,0.08180570602416992,3.1187450885772705,9.554111267762433
34,3.0042200088500977,3.0910307499500416,0.028364896774291992,2.928776264190674,9.178476557776044
35,2.819308042526245,2.969714583286875,0.029698848724365234,2.753356456756592,8.817914895991612
36,2.6487669944763184,2.8533040312023252,0.028614044189453125,2.5913565158843994,8.471820622529119
37,2.4914703369140625,2.7416025384991243,0.09373211860656738,2.4417378902435303,8.13960890638469
38,2.3463828563690186,2.634422050209104,0.028074026107788086,2.303541660308838,7.820724525918479
39,2.2125496864318848,2.5315825063641624,0.026621103286743164,2.1758852005004883,7.514633748447524
40,2.089090585708618,2.432911279221792,0.027714967727661133,2.057950735092163,7.2208234128801125
41,1.975193738937378,2.3382409575409002,0.07962512969970703,1.9489885568618774,6.938801436468724
42,1.8701128959655762,2.2474131628212324,0.030315637588500977,1.8483047485351562,6.668094782865225
43,1.7731584310531616,2.160275043431893,0.028943777084350586,1.7552598714828491,6.408251923141758
44,1.6836955547332764,2.076679187736249,0.08240580558776855,1.6692651510238647,6.158838770982067
45,1.601140022277832,1.996486264091107,0.028129100799560547,1.5897767543792725,5.919438467238493
46,1.5249522924423218,1.9195607862147623,0.028249025344848633,1.5162932872772217,5.68965184918752
47,1.4546353816986084,1.8457729451978768,0.02810072898864746,1.4483518600463867,5.469094211321299
48,1.3897314071655273,1.7749986093141188,0.08031201362609863,1.385526418685913,5.25739698782959
49,1.3298184871673584,1.7071185226822554,0.028481006622314453,1.327422857284546,5.054207609024536
50,1.2745064496994019,1.6420182199111772,0.02636575698852539,1.2736787796020508,4.859185639278241
51,1.2234375476837158,1.5795879677207318,0.02690410614013672,1.2239586114883423,4.672005574594679
52,1.1762807369232178,1.5197212090865564,0.07922911643981934,1.1779546737670898,4.492353435627781
53,1.1327317953109741,1.4623183127395125,0.028393030166625977,1.1353814601898193,4.319932634365114
54,1.0925097465515137,1.4072814983925679,0.02845311164855957,1.0959763526916504,4.1544530236182515
55,1.0553555488586426,1.3545174913625777,0.08202695846557617,1.059496283531189,3.9956372392856347
56,1.0210301876068115,1.3039362396372427,0.027904987335205078,1.0257185697555542,3.843220207990291
57,0.9893142580986023,1.25545311994514,0.027955055236816406,0.9944361448287964,3.696949366211634
58,0.9600048065185547,1.2089843871206463,0.029000043869018555,0.9654593467712402,3.5565782091183564
59,0.932915210723877,1.164452233114291,0.0808262825012207,0.9386118054389954,3.4218736567621364
60,0.9078728556632996,1.121779679506809,0.02791595458984375,0.9137313365936279,3.292608724126046
61,0.8847184777259827,1.0808935363616923,0.02834010124206543,0.8906688690185547,3.1685670255437635
