Epoch,Training Loss,Gradient Norm,Training Time (s),Test Loss
1,37.654598236083984,12.274562816774491,0.0604097843170166,36.635215759277344
2,36.1635627746582,12.020257029533019,0.030642032623291016,35.19465637207031
3,34.733642578125,11.771711136929744,0.09790897369384766,33.81303024291992
4,33.36221694946289,11.528754087113825,0.029722929000854492,32.487796783447266
5,32.046791076660156,11.291224725618468,0.0277860164642334,31.216556549072266
6,30.784992218017578,11.058968321903432,0.02641916275024414,29.99700927734375
7,29.57455062866211,10.83184007040731,0.09513401985168457,28.82695960998535
8,28.413297653198242,10.60969693681047,0.02690410614013672,27.704330444335938
9,27.299169540405273,10.392404906533901,0.02467489242553711,26.627119064331055
10,26.230199813842773,10.17983772946584,0.025369882583618164,25.593420028686523
