Epoch,Training Loss,Training Gradient Norm,Training Time (s),Test Loss,Test Gradient Norm,Test Accuracy
1,0.6941138505935669,0.07830206378305332,0.06671380996704102,0.6923467516899109,0.12862043341819498,0.5074999928474426
2,0.6939073204994202,0.0771454626378667,0.028905868530273438,0.6919925212860107,0.1270440044655846,0.5162500143051147
3,0.6937361359596252,0.07618581571019893,0.029973983764648438,0.6916851997375488,0.12566280510403108,0.5249999761581421
4,0.6935939192771912,0.07539132852720853,0.029284954071044922,0.6914178729057312,0.12445132218971657,0.5362499952316284
5,0.6934753656387329,0.07473475519093281,0.028073787689208984,0.6911847591400146,0.12338739925068029,0.5350000262260437
6,0.6933760643005371,0.07419296633949193,0.030146121978759766,0.690980851650238,0.12245179149104425,0.5387499928474426
7,0.6932927966117859,0.07374643573301727,0.028718233108520508,0.6908019185066223,0.1216278851367627,0.5412499904632568
8,0.6932224035263062,0.07337878896725746,0.0980069637298584,0.6906446814537048,0.12090130621413868,0.5475000143051147
9,0.6931626796722412,0.07307630577157165,0.02893996238708496,0.6905059814453125,0.12025961162661425,0.5412499904632568
10,0.6931115984916687,0.0728275666602227,0.04366898536682129,0.6903834342956543,0.11969205184724527,0.5400000214576721
11,0.6930676102638245,0.07262311955102974,0.039035797119140625,0.6902748346328735,0.11918934992309654,0.543749988079071
12,0.6930294632911682,0.07245509893799273,0.03155994415283203,0.6901782155036926,0.11874343538356454,0.5475000143051147
13,0.692996084690094,0.07231702893412172,0.036347150802612305,0.6900923252105713,0.11834737682404944,0.5487499833106995
14,0.692966639995575,0.07220356888367176,0.03367304801940918,0.6900155544281006,0.11799510053803466,0.5462499856948853
15,0.6929402947425842,0.07211029673963973,0.03334474563598633,0.6899468898773193,0.11768137335296885,0.5525000095367432
16,0.6929165720939636,0.07203358068974852,0.0327448844909668,0.6898852586746216,0.11740161312391129,0.5550000071525574
17,0.6928949952125549,0.07197047178003022,0.04149985313415527,0.68982994556427,0.11715189109209673,0.5525000095367432
18,0.6928750872612,0.07191849276733618,0.029987096786499023,0.689780056476593,0.11692869578456357,0.5562499761581421
19,0.6928566694259644,0.0718756492161832,0.10492587089538574,0.6897348761558533,0.1167290244551231,0.5587499737739563
20,0.692839503288269,0.07184030012527481,0.02825188636779785,0.6896941661834717,0.11655018525036531,0.5575000047683716
21,0.6928232312202454,0.07181106982710948,0.02680802345275879,0.6896570324897766,0.1163898987021763,0.5600000023841858
22,0.6928077936172485,0.0717868706461213,0.033145904541015625,0.6896234154701233,0.11624609594784227,0.5587499737739563
23,0.6927928924560547,0.07176677808754578,0.02694082260131836,0.689592719078064,0.11611696602567245,0.5562499761581421
