Epoch,Training Loss,Training Gradient Norm,Training Time (s),Test Loss,Test Gradient Norm,Test Accuracy
71,0.6939177513122559,0.07735947042699368,0.08457803726196289,0.6942823529243469,0.12477228827619938,0.48124998807907104
72,0.6939117312431335,0.07735297409574246,0.02477574348449707,0.6942781209945679,0.12476460131645498,0.48124998807907104
73,0.693905770778656,0.0773464779786994,0.024364233016967773,0.6942740082740784,0.12475691498743222,0.48124998807907104
74,0.6938997507095337,0.07733999394717458,0.02369999885559082,0.6942698955535889,0.12474923043324394,0.48124998807907104
75,0.6938937306404114,0.07733351152515643,0.02494192123413086,0.6942656636238098,0.12474156526595721,0.48124998807907104
76,0.6938877701759338,0.07732703117739669,0.02547001838684082,0.6942614912986755,0.12473389249348042,0.48124998807907104
77,0.6938818097114563,0.0773205619772549,0.025444984436035156,0.694257378578186,0.12472622492346418,0.48124998807907104
78,0.693875789642334,0.07731410113364759,0.025770902633666992,0.694253146648407,0.12471856392928068,0.48124998807907104
79,0.6938698291778564,0.07730764514802844,0.024441003799438477,0.6942489743232727,0.12471091636871533,0.48124998807907104
80,0.6938639283180237,0.0773011975169132,0.02479720115661621,0.6942448616027832,0.12470328247522533,0.48124998807907104
81,0.6938579678535461,0.07729475241766547,0.024904966354370117,0.6942406296730042,0.12469563845275543,0.48124998807907104
82,0.6938519477844238,0.07728830356031233,0.08227205276489258,0.6942365169525146,0.12468800214784923,0.48124998807907104
83,0.6938459873199463,0.07728187841492698,0.02352309226989746,0.6942323446273804,0.12468037103600683,0.48249998688697815
84,0.6938400268554688,0.0772754485804623,0.023530006408691406,0.6942281126976013,0.12467274535763147,0.48124998807907104
85,0.6938340663909912,0.07726903663059662,0.02426004409790039,0.6942239999771118,0.12466513196221628,0.48124998807907104
86,0.6938280463218689,0.07726261952447368,0.024595975875854492,0.6942198276519775,0.12465753679888623,0.48124998807907104
87,0.6938220858573914,0.07725621123172922,0.02504897117614746,0.694215714931488,0.12464991274747438,0.48124998807907104
88,0.693816065788269,0.07724981452764149,0.02585291862487793,0.694211483001709,0.12464232934486812,0.48124998807907104
89,0.6938101053237915,0.07724341941743364,0.025118112564086914,0.6942073702812195,0.12463473237866904,0.48124998807907104
90,0.693804144859314,0.07723702821103165,0.02438497543334961,0.69420325756073,0.12462713717432684,0.48124998807907104
91,0.6937982439994812,0.07723063813373678,0.024412155151367188,0.6941990852355957,0.12461955791784998,0.48124998807907104
92,0.6937922835350037,0.07722426500698919,0.08222103118896484,0.6941949725151062,0.12461198384103113,0.48124998807907104
93,0.6937863230705261,0.07721789577792665,0.023783206939697266,0.6941907405853271,0.12460440556888155,0.48249998688697815
94,0.6937803626060486,0.07721152813696491,0.023733139038085938,0.6941866874694824,0.12459685401264671,0.48249998688697815
95,0.693774402141571,0.0772051706854512,0.024911880493164062,0.6941825151443481,0.12458928748920019,0.48374998569488525
96,0.6937684416770935,0.07719881574192934,0.024209022521972656,0.6941784024238586,0.12458172867757676,0.48374998569488525
97,0.6937623620033264,0.07719246422578543,0.02437281608581543,0.6941741704940796,0.12457417985482624,0.48374998569488525
98,0.6937564611434937,0.07718612827140732,0.023732900619506836,0.6941701769828796,0.12456664811448986,0.48374998569488525
99,0.6937505602836609,0.07717979574149564,0.024644136428833008,0.6941659450531006,0.12455909570765185,0.48374998569488525
100,0.6937445998191833,0.0771734724733414,0.025796175003051758,0.6941618323326111,0.12455156975150103,0.48374998569488525
101,0.6937386393547058,0.07716714540528151,0.08216691017150879,0.6941576600074768,0.12454404327366565,0.48249998688697815
102,0.6937326788902283,0.07716083481642494,0.023375988006591797,0.6941535472869873,0.12453652905499558,0.48249998688697815
103,0.693726658821106,0.07715451228394841,0.02434992790222168,0.694149374961853,0.12452901772438132,0.48249998688697815
104,0.6937207579612732,0.0771482148269117,0.024946928024291992,0.6941452026367188,0.12452150700747396,0.48249998688697815
105,0.6937148571014404,0.07714191218381619,0.0245668888092041,0.694141149520874,0.12451399804061826,0.48374998569488525
106,0.6937088966369629,0.07713561925404827,0.024528980255126953,0.6941370368003845,0.12450651324633635,0.48500001430511475
107,0.6937029361724854,0.07712932927347917,0.024886131286621094,0.694132924079895,0.12449901118511332,0.48500001430511475
108,0.6936969757080078,0.07712304900332455,0.02410125732421875,0.6941288113594055,0.1244915321586704,0.48500001430511475
109,0.6936910152435303,0.07711677844256477,0.027880191802978516,0.694124698638916,0.12448405374395972,0.48500001430511475
110,0.6936850547790527,0.0771105099103386,0.02485203742980957,0.6941205859184265,0.12447658871240366,0.48500001430511475
111,0.6936790347099304,0.077104244320603,0.02353215217590332,0.6941163539886475,0.12446910896285096,0.48500001430511475
112,0.6936731934547424,0.07709799520161476,0.02366805076599121,0.694112241268158,0.12446163805422668,0.48625001311302185
113,0.6936672329902649,0.07709174225647245,0.08089399337768555,0.6941081285476685,0.1244541830832094,0.48625001311302185
114,0.6936613321304321,0.07708549179086073,0.029198884963989258,0.694104015827179,0.12444673552611064,0.48625001311302185
115,0.6936553716659546,0.07707925148295566,0.030254125595092773,0.6940999031066895,0.12443929936913876,0.48625001311302185
116,0.6936493515968323,0.07707301365122901,0.02711009979248047,0.6940957903862,0.12443185302734278,0.48625001311302185
117,0.6936433911323547,0.07706679137274834,0.02636098861694336,0.6940916180610657,0.12442441069259234,0.48750001192092896
118,0.6936375498771667,0.07706057293719606,0.027327775955200195,0.6940876245498657,0.12441698429201328,0.48750001192092896
119,0.6936315298080444,0.07705435651789874,0.030915021896362305,0.6940834522247314,0.12440957156040368,0.48750001192092896
120,0.6936255693435669,0.07704814979369234,0.03321123123168945,0.6940793395042419,0.12440215090284508,0.48750001192092896
121,0.6936196684837341,0.0770419464496751,0.02763819694519043,0.6940752267837524,0.1243947368155157,0.48750001192092896
122,0.6936137676239014,0.07703575188717221,0.02593207359313965,0.6940711140632629,0.12438732672954185,0.48750001192092896
123,0.6936078071594238,0.0770295607010744,0.0865011215209961,0.6940670609474182,0.12437992660945577,0.48750001192092896
124,0.6936019062995911,0.07702337197904435,0.025727033615112305,0.6940629482269287,0.12437254128988842,0.48750001192092896
125,0.6935959458351135,0.07701719249034567,0.02415323257446289,0.6940587759017944,0.12436514463950535,0.48750001192092896
126,0.693589985370636,0.07701101591747778,0.024251937866210938,0.6940547227859497,0.12435775198479694,0.48750001192092896
127,0.693584144115448,0.07700484812185157,0.024734020233154297,0.6940506100654602,0.1243503800976721,0.48750001192092896
