Epoch,Training Loss,Training Gradient Norm,Training Time (s),Test Loss,Test Gradient Norm
1,0.05181881785392761,0.3016670063784068,0.08263969421386719,0.05163117125630379,1.1144603203938626
2,0.05164532735943794,0.29979097926788306,0.010894060134887695,0.05145471170544624,0.8922375665142993
3,0.05147967487573624,0.2986737296431016,0.012121915817260742,0.05129361152648926,0.8588160634231418
4,0.05131559073925018,0.2975948820347753,0.010605096817016602,0.05113097280263901,0.8580448042459148
5,0.051152799278497696,0.2965222853341799,0.07957315444946289,0.05097026005387306,0.8538809222318686
6,0.05099126324057579,0.29545433090050277,0.018132925033569336,0.05081072449684143,0.8506113891702891
7,0.050830986350774765,0.2943910171927894,0.009908914566040039,0.05065252631902695,0.8471765345231345
8,0.05067194998264313,0.293332290862846,0.010185003280639648,0.05049559846520424,0.8437942032470256
9,0.05051414296030998,0.2922781677121784,0.00992894172668457,0.0503399483859539,0.8404178261134415
10,0.05035756528377533,0.29122863395572984,0.009655952453613281,0.05018558353185654,0.8370566613543721
11,0.050202205777168274,0.2901836644656589,0.009719610214233398,0.05003245547413826,0.8337093781388528
12,0.050048038363456726,0.2891431721864793,0.009266853332519531,0.04988059028983116,0.8303756067547201
13,0.04989508166909218,0.28810721399723116,0.009629964828491211,0.04972995072603226,0.8270559483714089
14,0.04974329471588135,0.28707579094947555,0.009330034255981445,0.04958053678274155,0.8237498319317823
15,0.04959268867969513,0.28604881514665664,0.009280920028686523,0.04943234845995903,0.8204572270627508
16,0.04944325238466263,0.2850262831157553,0.010095834732055664,0.04928535968065262,0.8171784166975856
17,0.04929497465491295,0.28400822850488394,0.009997129440307617,0.04913957417011261,0.813912829349775
18,0.0491478405892849,0.2829945881206631,0.010091066360473633,0.04899496212601662,0.81066110127897
19,0.049001842737197876,0.28198539498026715,0.009193181991577148,0.04885153844952583,0.807422532113353
20,0.048856981098651886,0.2809805882057395,0.009531974792480469,0.04870928078889847,0.8041971510356711
21,0.04871324449777603,0.27998013604178806,0.009412288665771484,0.048568181693553925,0.800985574295941
22,0.048570603132247925,0.2789840699270023,0.010757207870483398,0.04842822626233101,0.7977871189433224
23,0.04842907935380936,0.27799233161523434,0.010255813598632812,0.04828941449522972,0.7946017030011251
24,0.04828863963484764,0.27700491921102055,0.013597965240478516,0.04815173149108887,0.7914295119493261
25,0.048149291425943375,0.2760218345568237,0.010401010513305664,0.04801517352461815,0.7882702351572598
26,0.048011019825935364,0.2750430725975161,0.015307188034057617,0.047879718244075775,0.7851245488162443
27,0.04787381365895271,0.27406855070335484,0.013075828552246094,0.04774537310004234,0.7819913876962894
28,0.047737665474414825,0.2730982952061507,0.08975505828857422,0.04761211946606636,0.7788713448723467
29,0.0476025715470314,0.27213227645625565,0.010895013809204102,0.04747994989156723,0.7757640661850299
30,0.04746852442622185,0.27117049455870357,0.01023101806640625,0.04734885320067406,0.7726696740232732
31,0.04733550176024437,0.2702129792678379,0.00923013687133789,0.04721882566809654,0.7695881605629881
32,0.047203514724969864,0.2692595803880796,0.009335994720458984,0.04708985239267349,0.7665196868009477
33,0.04707254469394684,0.26831038955331377,0.009778261184692383,0.046961940824985504,0.7634636419660903
34,0.046942584216594696,0.2673653766400766,0.009037971496582031,0.04683506116271019,0.7604201377925195
35,0.04681363329291344,0.2664245381185442,0.008660078048706055,0.04670921340584755,0.7573898207506852
36,0.04668566212058067,0.2654877914152015,0.008959054946899414,0.04658438637852669,0.7543712178837136
37,0.0465586856007576,0.26455515896155346,0.009335994720458984,0.046460580080747604,0.7513657358511128
38,0.04643268510699272,0.26362667830947767,0.009517192840576172,0.046337779611349106,0.7483718566731763
39,0.046307653188705444,0.26270224834014044,0.009983062744140625,0.04621597006917,0.7453919026915764
40,0.04618358612060547,0.2617818811718255,0.009536981582641602,0.04609516263008118,0.7424232709767651
41,0.046060480177402496,0.26086560102656486,0.010933160781860352,0.04597533494234085,0.7394670306428618
42,0.045938316732645035,0.2599533192200344,0.009922027587890625,0.045856475830078125,0.7365231417051594
43,0.04581708833575249,0.2590450941545818,0.009379148483276367,0.045738592743873596,0.7335915771894077
44,0.04569679871201515,0.25814083825261047,0.009686708450317383,0.045621663331985474,0.7306719624653765
45,0.04557742923498154,0.2572406112866902,0.00964498519897461,0.04550568759441376,0.7277643580659018
46,0.04545898735523224,0.25634434990036853,0.010457992553710938,0.04539065435528755,0.7248693997793529
47,0.04534144699573517,0.25545205873120735,0.021956205368041992,0.045276544988155365,0.7219862330998471
48,0.04522481560707092,0.25456370675975193,0.010428905487060547,0.04516337811946869,0.7191146547446835
49,0.04510907828807831,0.2536792924047712,0.009634733200073242,0.04505113139748573,0.7162553436590537
50,0.04499422386288643,0.2527987869129774,0.01695728302001953,0.0449397899210453,0.7134077906357932
51,0.04488026350736618,0.25192221766702616,0.07621407508850098,0.0448293574154377,0.7105727187473384
52,0.044767171144485474,0.2510495019388564,0.010019779205322266,0.044719818979501724,0.7077483003789831
53,0.04465494304895401,0.25018064738478096,0.009527921676635742,0.04461117461323738,0.7049362881322764
54,0.04454358294606209,0.24931567067403224,0.009063720703125,0.044503409415483475,0.702136305566171
55,0.044433072209358215,0.24845452865057635,0.008788108825683594,0.044396527111530304,0.6993476138730879
56,0.044323407113552094,0.24759720633169605,0.009025096893310547,0.04429049789905548,0.6965706231532298
57,0.04421459138393402,0.24674371854193977,0.00935220718383789,0.044185347855091095,0.6938049808155052
58,0.04410660266876221,0.24589400524508814,0.009446859359741211,0.04408104345202446,0.6910509083678342
59,0.04399944469332695,0.2450480947198062,0.01003408432006836,0.043977584689855576,0.6883086192288442
60,0.043893106281757355,0.24420593088313589,0.010349035263061523,0.04387497529387474,0.6855772891146706
61,0.04378758370876312,0.24336755246343303,0.0093841552734375,0.043773189187049866,0.6828581700498874
62,0.04368286952376366,0.24253289308619358,0.009393930435180664,0.043672237545251846,0.6801494014768059
63,0.04357895255088806,0.2417019773404652,0.008813142776489258,0.04357209801673889,0.6774522461641465
64,0.04347583279013634,0.24087475906594658,0.01011800765991211,0.0434727780520916,0.6747668502451085
65,0.04337349906563759,0.24005124290102628,0.008816957473754883,0.043374259024858475,0.6720921229488348
66,0.043271955102682114,0.23923139603414045,0.008871793746948242,0.04327654838562012,0.669428715157582
67,0.04317118227481842,0.2384152476401995,0.00989985466003418,0.043179623782634735,0.6667767367295865
68,0.04307117685675621,0.23760272533573457,0.009384870529174805,0.043083492666482925,0.6641356300161455
69,0.04297193884849548,0.2367938452629524,0.009006023406982422,0.0429881326854229,0.6615051250420938
70,0.04287346079945564,0.23598861571136098,0.009764909744262695,0.042893555015325546,0.6588865817854537
71,0.04277573153376579,0.23518698702727955,0.008333921432495117,0.04279974102973938,0.6562777541870095
72,0.042678747326135635,0.23438894903949298,0.008232355117797852,0.0427066944539547,0.6536808803705514
73,0.04258250445127487,0.23359450838842122,0.00896000862121582,0.042614392936229706,0.6510944867778768
74,0.042486995458602905,0.23280361880860684,0.06372308731079102,0.0425228476524353,0.648518839925698
75,0.04239221289753914,0.23201630747277022,0.008337259292602539,0.042432039976119995,0.6459544232801888
76,0.04229815676808357,0.2312325347551482,0.007573127746582031,0.04234197363257408,0.6434001441851854
77,0.04220481589436531,0.23045229459632338,0.007600069046020508,0.04225262999534607,0.6408571445901998
78,0.042112186551094055,0.22967557870546548,0.007706880569458008,0.042164020240306854,0.6383241709360213
79,0.04202025756239891,0.22890233686586828,0.0076291561126708984,0.042076125741004944,0.6358023112807706
80,0.041929036378860474,0.22813261439480134,0.008482217788696289,0.04198894649744034,0.6332911688685093
81,0.04183850809931755,0.22736636929477122,0.008449077606201172,0.04190247133374214,0.6307903672245498
82,0.041748665273189545,0.22660357102106374,0.00799107551574707,0.041816696524620056,0.6282997861698775
83,0.04165950417518616,0.22584422099602233,0.009023904800415039,0.04173161834478378,0.6258192654875169
84,0.04157102108001709,0.22508831137165852,0.009460926055908203,0.041647229343652725,0.6233504398118859
85,0.04148321598768234,0.22433585405209217,0.008265972137451172,0.041563525795936584,0.6208906291661842
86,0.04139607399702072,0.22358674776520918,0.008216142654418945,0.041480500251054764,0.6184425082751884
