Epoch,Training Loss,Training Gradient Norm,Training Time (s),Test Loss,Test Gradient Norm
36,1556154880.0,468029.7473139781,0.009150028228759766,3172975872.0,472016.9098677268
37,3147262720.0,665600.3572240137,0.013707160949707031,6417213952.0,671270.2969798456
38,6365215744.0,946571.7176484074,0.00961923599243164,12978569216.0,954635.5559900284
39,12873395200.0,1346150.351326968,0.013789176940917969,26248634368.0,1357617.898536902
40,26035933184.0,1914403.809958944,0.00979304313659668,53086838784.0,1930712.5448925872
41,52656648192.0,2722535.738400962,0.013926267623901367,107366023168.0,2745728.3829874382
42,106496016384.0,3871806.9563472313,0.013427019119262695,217143640064.0,3904790.2443947312
43,215384031232.0,5506222.140156579,0.013965129852294922,439164370944.0,5553128.050366344
44,435605700608.0,7830577.124462171,0.011775016784667969,888192827392.0,7897283.8297187025
45,880995336192.0,11136116.366295489,0.015531063079833984,1796334419968.0,11230982.470795376
46,1781777956864.0,15837032.128570871,0.009121179580688477,3633015947264.0,15971945.520003945
47,3603576127488.0,22522355.650244072,0.00988626480102539,7347631030272.0,22714219.973624237
48,7288090787840.0,32029768.043598004,0.009422063827514648,14860289048576.0,32302625.115523785
49,14739872677888.0,45550579.162979566,0.009182929992675781,30054358712320.0,45938612.08015986
50,29810816450560.0,64778947.87004361,0.008992910385131836,60783748710400.0,65330782.052539125
51,60291186425856.0,92124238.97038078,0.009140968322753906,122932726595584.0,92909025.92809965
52,121936571006976.0,131012859.18630213,0.010263204574584961,248626597068800.0,132128941.8965488
53,246611787644928.0,186317610.3933145,0.013705968856811523,502837289156608.0,187904813.97502327
54,498762640261120.0,264968300.52668226,0.00996088981628418,1016968530362368.0,267225504.27009112
55,1008727561863168.0,376820012.1860761,0.010735273361206055,2056778367893504.0,380030031.99176013
56,2040111613083648.0,535888005.1876882,0.010893821716308594,4159753940893696.0,540453093.1454093
57,4126046500683776.0,762103599.0187302,0.008489131927490234,8412939526602752.0,768595885.0839497
58,8344765510713344.0,1083812287.834779,0.008817911148071289,1.7014839360618496e+16,1093045094.5019796
59,1.6876960172998656e+16,1541324551.0450237,0.009857892990112305,3.441183632130048e+16,1554454757.7805212
60,3.413298556960768e+16,2191967468.790115,0.008897066116333008,6.959657348235264e+16,2210640261.7289486
61,6.903260562168218e+16,3117267940.3903766,0.07462501525878906,1.4075633467182285e+17,3143823180.0293746
62,1.3961572879695872e+17,4433168306.893989,0.008161067962646484,2.8467416041049293e+17,4470933361.655313
63,2.8236731629594214e+17,6304551726.956011,0.00833582878112793,5.757422214546719e+17,6358259064.32072
64,5.710767874595881e+17,8965906962.621971,0.008092880249023438,1.1644157991636173e+18,9042285143.283941
65,1.154980202690904e+18,12750705635.1258,0.008214712142944336,2.3549848567834214e+18,12859326080.931297
66,2.335901732971741e+18,18133194502.902763,0.008556842803955078,4.762865018955891e+18,18287667262.65328
67,4.724269412041884e+18,25787799963.179173,0.008302927017211914,9.632704822712992e+18,26007481220.166245
68,9.55464719372229e+18,36673667430.10628,0.008291959762573242,1.948176494646998e+19,36986078912.45344
69,1.932390146500041e+19,52154805815.55268,0.00870203971862793,3.9401100336422715e+19,52599097771.94831
70,3.90818153538561e+19,74171028798.69928,0.008226871490478516,7.968715799962373e+19,74802880625.79765
71,7.90414192186774e+19,105481022986.66481,0.009374141693115234,1.6116409223084822e+20,106379588543.67949
72,1.5985811870765495e+20,150007971018.88257,0.009593963623046875,3.2594805821531174e+20,151285865544.0535
73,3.233067674026031e+20,213331225425.00336,0.009559869766235352,6.592170694686351e+20,215148530580.33594
74,6.538751669918761e+20,303385225284.69135,0.00873708724975586,1.3332404263996925e+21,305969684457.4684
75,1.3224367131060957e+21,431453990230.60394,0.008764982223510742,2.696426694096655e+21,435129407826.8698
76,2.674576636079537e+21,613584811967.706,0.008485794067382812,5.453417795982188e+21,618811786295.2195
77,5.409226787588569e+21,872598981712.542,0.009022951126098633,1.102932787232932e+22,880032401807.4622
78,1.0939951685924339e+22,1240951144657.4302,0.008769989013671875,2.230638074576178e+22,1251522660153.7678
79,2.2125626522917453e+22,1764797019024.4622,0.008258819580078125,4.51137824464689e+22,1779830993084.6672
80,4.47482027467171e+22,2509775234312.202,0.008853912353515625,9.12408477874984e+22,2531155467007.7607
81,9.050149183667299e+22,3569232438956.6045,0.008882284164428711,1.8453101354943548e+23,3599638312859.6426
82,1.830356923723589e+23,5075920551712.091,0.010371923446655273,3.732066718215415e+23,5119161655568.663
83,3.701824506285667e+23,7218631508912.056,0.009920120239257812,7.547958035575152e+23,7280125883600.03
84,7.486794829179818e+23,10265849941234.121,0.009490966796875,1.5265448854947098e+24,10353303922407.01
85,1.5141746142110307e+24,14599397179223.04,0.010821104049682617,3.0873762153845465e+24,14723766002508.049
86,3.062358106964954e+24,20762276893916.285,0.009552717208862305,6.244096047585176e+24,20939147232643.29
87,6.193498357973248e+24,29526706553993.016,0.01021432876586914,1.2628438078676748e+25,29778235148095.457
88,1.2526104765927844e+25,41990887009415.53,0.009302616119384766,2.5540520211759882e+25,42348598495619.97
89,2.533355466078189e+25,59716597739653.695,0.012588977813720703,5.1654692659037966e+25,60225315969461.36
90,5.123611758926142e+25,84924919412415.56,0.009361028671264648,1.0446960250996393e+26,85648374121717.17
91,1.0362303530756121e+26,120774465802849.16,0.012145042419433594,2.1128561241935964e+26,121803317956616.83
92,2.095734594214142e+26,171757275736581.7,0.010011911392211914,4.2731687111260995e+26,173220453150140.3
93,4.238541221020695e+26,244261570365694.94,0.011294126510620117,8.642312142318895e+26,246342405350950.72
94,8.57228239885699e+26,347372311534894.3,0.009824037551879883,1.74787401103952e+27,350331534211259.25
95,1.733710158217868e+27,494009477145009.2,0.009717941284179688,3.535006530390661e+27,498217876685758.75
96,3.506361245601384e+27,702546868069672.0,0.009624719619750977,7.14941079875362e+27,708531716900819.6
97,7.091475626150154e+27,999114648171381.4,0.07063412666320801,1.445940212798236e+28,1007625965190681.9
98,1.4342231951401019e+28,1420873213746965.8,0.008468866348266602,2.9243563760174906e+28,1432977314579137.2
99,2.9006595410064507e+28,2020669884157412.5,0.009218215942382812,5.914396147445215e+28,2037883573306916.2
100,5.866468850010571e+28,2873659801077363.0,0.008987903594970703,1.1961629630633664e+29,2898140017362289.5
101,1.1864701169626171e+29,4086725138610384.0,0.009055852890014648,2.419192602415734e+29,4121538404910797.0
102,2.399589303566705e+29,5811863976167763.0,0.010045051574707031,4.8927215091620034e+29,5861373748030429.0
103,4.853074786907742e+29,8265240113944611.0,0.009659051895141602,9.895338153220163e+29,8335650021299464.0
