Epoch,Training Loss,Training Gradient Norm,Training Time (s),Test Loss,Test Gradient Norm,Test Accuracy
1,0.6799444460868835,0.11681350548771104,0.1520402431488037,0.6660322546958923,0.21505029358552807,0.6150000095367432
2,0.6650882649421692,0.10635638293440777,0.04224896430969238,0.6613403558731079,0.20588904140067724,0.6150000095367432
3,0.6571407103538514,0.10507879326745939,0.03638911247253418,0.6594753265380859,0.20473810900957398,0.6150000095367432
4,0.6497618246078491,0.10434176397949554,0.038263797760009766,0.6585263609886169,0.20540303345002775,0.6150000095367432
5,0.642298424243927,0.10365027170711243,0.034761905670166016,0.6573392748832703,0.20556912114731682,0.6150000095367432
6,0.6356324577331542,0.10198364764325052,0.04475808143615723,0.6556347012519836,0.20404829548288955,0.6150000095367432
7,0.6282910132408142,0.1012795196633573,0.05994606018066406,0.654365599155426,0.20436649848316202,0.6150000095367432
8,0.6216240644454956,0.10014225874247752,0.08429503440856934,0.6530282497406006,0.20378958285215784,0.6150000095367432
9,0.615002293586731,0.09945731826459679,0.05019021034240723,0.651852548122406,0.20395292578929775,0.6150000095367432
10,0.6086574602127075,0.09805283041850728,0.04843902587890625,0.6501927971839905,0.20271153842114115,0.6150000095367432
11,0.6021443152427673,0.0978946187726304,0.08045005798339844,0.6493644118309021,0.20376881776940534,0.6150000095367432
12,0.5959414672851563,0.09644605686993264,0.03626298904418945,0.6477257609367371,0.20277275208557466,0.6150000095367432
13,0.5895104694366455,0.09537366134688453,0.03452801704406738,0.6465280652046204,0.20225590947775265,0.6150000095367432
14,0.5835247230529785,0.09441581018200963,0.03707599639892578,0.6452557444572449,0.20185902892488594,0.6150000095367432
15,0.5776287484169006,0.09356625691132393,0.03236198425292969,0.6438976526260376,0.20158105198754164,0.6150000095367432
16,0.5717630791664123,0.09259030752769284,0.03069901466369629,0.642764151096344,0.201070668095177,0.6150000095367432
17,0.5662491989135742,0.0920320465407494,0.03261590003967285,0.6418972611427307,0.20132124949878227,0.6150000095367432
18,0.5609455084800721,0.09127951954517675,0.031954050064086914,0.640791654586792,0.20114274580662572,0.6150000095367432
19,0.5555390644073487,0.09032108685685121,0.03481888771057129,0.6395754814147949,0.20066147815492213,0.6150000095367432
20,0.5500702595710755,0.08964845149119666,0.03524589538574219,0.6386886835098267,0.2005994762158798,0.6150000095367432
21,0.5449860548973083,0.08843677192058574,0.03159904479980469,0.6373988389968872,0.199382176412676,0.6150000095367432
22,0.5397452163696289,0.08799915316480074,0.02839803695678711,0.6366052627563477,0.19994890813722885,0.6349999904632568
23,0.5350488770008087,0.0872613552022505,0.02846527099609375,0.6355291604995728,0.19969975636035328,0.6399999856948853
24,0.5300825715065003,0.08611114546988871,0.02872610092163086,0.6343546509742737,0.19869111077659873,0.6349999904632568
25,0.524898589849472,0.08559575373725489,0.028140783309936523,0.633601188659668,0.19898291869668602,0.6499999761581421
26,0.5201639711856842,0.08549287561152971,0.029011011123657227,0.6330521106719971,0.19943755383329279,0.6499999761581421
27,0.5158552098274231,0.08505240021664226,0.029664993286132812,0.6321274042129517,0.1994156084651353,0.6499999761581421
28,0.5114028608798981,0.08512357504729356,0.028789758682250977,0.6315898299217224,0.1998104009704115,0.6499999761581421
29,0.5071647334098816,0.08331899565554576,0.027440309524536133,0.6305237412452698,0.19864109270850625,0.6549999713897705
30,0.5028395652770996,0.08194095535035541,0.03008294105529785,0.629459023475647,0.197529422863463,0.6499999761581421
31,0.49861219644546506,0.08173987973030156,0.028418779373168945,0.6287521123886108,0.1979697961649695,0.6600000262260437
32,0.4942963516712189,0.08079130861704183,0.027168989181518555,0.6277365684509277,0.19737419746618712,0.6549999713897705
33,0.4902570307254791,0.08021204828933229,0.02755427360534668,0.6268775463104248,0.19722532659716768,0.6600000262260437
34,0.48595451831817627,0.079996482753034,0.027502059936523438,0.6262661218643188,0.1974227430918498,0.6700000166893005
35,0.4822716164588928,0.07873343722368609,0.02732372283935547,0.6251696944236755,0.1964402063153787,0.6600000262260437
36,0.47805649757385255,0.07874090492966317,0.02706599235534668,0.6247104406356812,0.19695595733044421,0.6700000166893005
37,0.47443118691444397,0.07813564595697275,0.02735614776611328,0.624184250831604,0.19679359161641855,0.6700000166893005
38,0.4709397983551025,0.0773934985522832,0.026970863342285156,0.6234215497970581,0.19645133623593555,0.6700000166893005
39,0.4672591245174408,0.07694431267676197,0.02724480628967285,0.6227599382400513,0.19639399066655108,0.6700000166893005
40,0.4634298491477966,0.07713123640169847,0.02861809730529785,0.6222788691520691,0.19675336525303502,0.6700000166893005
41,0.4600732159614563,0.07585043030240296,0.028342008590698242,0.6214694380760193,0.19604523362813236,0.6700000166893005
42,0.45671812653541566,0.07511600117845141,0.027734041213989258,0.6208925843238831,0.1957337740698807,0.6700000166893005
43,0.4532205772399902,0.07460642862671703,0.027058124542236328,0.6201898455619812,0.195571509170891,0.6700000166893005
44,0.44982638120651247,0.07484656478099204,0.02739405632019043,0.6197782754898071,0.19594062548100372,0.6700000166893005
45,0.4466668713092804,0.07408262721813859,0.027298927307128906,0.619072675704956,0.19559745440899995,0.6700000166893005
46,0.44326371073722837,0.07340094094606929,0.02753925323486328,0.6184430122375488,0.19532873201805204,0.6700000166893005
47,0.4402029061317444,0.07315892197592824,0.02771615982055664,0.6178278923034668,0.19531781721298055,0.6650000214576721
48,0.4369103264808655,0.0728002092642234,0.02689814567565918,0.6172370314598083,0.19522819604834238,0.6800000071525574
49,0.4341049325466156,0.07180259188554257,0.027359962463378906,0.6166943907737732,0.1947774031700391,0.6700000166893005
50,0.43062532782554624,0.07168575536563271,0.029129981994628906,0.6162943840026855,0.19485881728010462,0.6800000071525574
51,0.42787627220153807,0.07054105902109217,0.028258085250854492,0.6155893206596375,0.19427613533657764,0.6700000166893005
52,0.42486520648002624,0.07121647363308192,0.026796817779541016,0.6154236793518066,0.19484660481872784,0.675000011920929
53,0.4219299149513245,0.07003035305271053,0.027538061141967773,0.6147422790527344,0.1942752017715853,0.6800000071525574
54,0.41893415808677675,0.0702137573842248,0.027630090713500977,0.6143118143081665,0.19447560471919817,0.675000011920929
55,0.41641244292259216,0.06992614839147203,0.027914047241210938,0.6138038039207458,0.19442522063491588,0.6800000071525574
56,0.4136875855922699,0.0698697052114992,0.028753042221069336,0.6134212613105774,0.19449289680120677,0.6800000071525574
57,0.41094006538391115,0.06818943216891074,0.028481006622314453,0.6128045320510864,0.19372437546212637,0.6800000071525574
58,0.4081148827075958,0.06792961296056964,0.028202295303344727,0.6123306751251221,0.19368312218409578,0.6800000071525574
59,0.40548078179359437,0.06730616941393693,0.027196884155273438,0.611821174621582,0.1934389371039055,0.6800000071525574
60,0.402766740322113,0.0670527374650492,0.028975963592529297,0.6114715337753296,0.19340831863159974,0.6800000071525574
61,0.4003085780143738,0.0665921038676121,0.028077125549316406,0.611003577709198,0.1932543181268274,0.6800000071525574
62,0.39775470733642576,0.06646366638235937,0.027577877044677734,0.610619068145752,0.19326778896441504,0.6800000071525574
