Epoch,Training Loss,Training Gradient Norm,Training Time (s),Test Loss,Test Gradient Norm
1,11.226562441849127,6.11324092513681,0.11236977577209473,1.6003202199935913,16.83798106517099
2,0.8557788555215045,1.1313801886150894,0.05481600761413574,0.5777882473035292,5.065312249724375
3,0.5757558462096424,0.5320646850289864,0.06397390365600586,0.5415375232696533,2.190456596133755
4,0.5626810607386799,0.5354139120534813,0.07018494606018066,0.5365267531438307,3.140297381878182
5,0.5534087361359015,0.45580792411636933,0.07440471649169922,0.5387225151062012,2.9057337132861782
6,0.5527494302610072,0.5154187888441447,0.06913113594055176,0.5351142097603191,2.312648204021071
7,0.5497930449683491,0.47339935721679693,0.06416893005371094,0.535655980760401,3.433359118279408
8,0.5474149468468457,0.4672048734861867,0.06540226936340332,0.5329397266561334,2.544687504641475
9,0.5481101274490356,0.47283333989404003,0.05375385284423828,0.5352624952793121,3.344967067623611
10,0.5459490941792,0.48565874996123926,0.05525088310241699,0.5411446284164082,1.579691385470074
11,0.5476340295338049,0.496526088071827,0.05503392219543457,0.5330590605735779,2.8471149021080837
12,0.5448235142521742,0.47929055504499685,0.053479909896850586,0.5325390750711615,3.184923487422557
13,0.5456299054913405,0.468907315269519,0.05311989784240723,0.5318300371820276,1.498464323574716
14,0.5429619085497972,0.499673906759858,0.0524599552154541,0.5316334583542563,1.290728891002704
15,0.5445564868973523,0.4693611219535273,0.05341196060180664,0.5328252884474668,1.4849935611925285
16,0.5422048575994445,0.46549474136121827,0.059181928634643555,0.532974278384989,2.292388967783221
17,0.5425470616759324,0.4222736270686096,0.054995059967041016,0.538627795197747,6.634132277342581
18,0.5461544387224244,0.4935772504636698,0.051145076751708984,0.5332563004710458,2.60573558642564
19,0.5425809520046886,0.4711770451882928,0.05093097686767578,0.5358889698982239,1.201741421961915
20,0.5395676239234645,0.42918036428122575,0.050376176834106445,0.5394744656302712,1.2442508645336767
21,0.5410114061541673,0.46937731111268666,0.04937434196472168,0.5344487428665161,2.1438162227321484
22,0.5439039686831032,0.49009705692954536,0.050126075744628906,0.5331115289167925,2.1550268684251
23,0.5416026493398155,0.4771548743387568,0.04944205284118652,0.5323754928328774,2.9414631235847755
24,0.5423433584410969,0.45495049409356636,0.04955697059631348,0.5332045988603071,2.990138160437094
25,0.5455323712127965,0.5102007605886371,0.049262046813964844,0.540034291419116,4.879410928869766
26,0.5423099689367341,0.4904944674969849,0.04787921905517578,0.5380812206051566,2.117177818397341
27,0.5442602808882551,0.4765302635427164,0.04834604263305664,0.5384539284489371,2.531936990708266
28,0.5419024759676399,0.4699276295522307,0.048915863037109375,0.5358979458158667,2.915777926672705
29,0.5401167615157801,0.4363365320782926,0.048882246017456055,0.5343964018604972,1.1526764026478222
30,0.5398385459330024,0.4574541725203298,0.048436880111694336,0.5376949256116693,2.5404439376779737
31,0.5431128667622078,0.47883128438816,0.048890113830566406,0.534198834137483,1.4435599155026133
32,0.5438397584891901,0.5037126418726261,0.048354148864746094,0.5370684157718312,2.1458311400538883
33,0.5429395706188388,0.4337818214779157,0.04878997802734375,0.5383299182761799,2.7714362527406013
34,0.5430334326697559,0.4644943711634187,0.0485231876373291,0.5363497517325662,2.496596726920038
35,0.541520868132754,0.46849048217987854,0.048948049545288086,0.5351552421396429,3.4468426798888383
36,0.5411298849233767,0.4725061796677266,0.04865407943725586,0.534998972307552,1.14625912128644
37,0.5434336538721876,0.5216348502173435,0.04923391342163086,0.5333908037705855,2.6133866665187537
38,0.5418883758347209,0.46375622372053926,0.049623966217041016,0.5349139977585186,1.5782534603116114
39,0.5430591578890638,0.44922783901516694,0.04848909378051758,0.5369529236446727,1.9215715530526085
